scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,4,691,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,6.7564848752,19.8430980000,11920.6641811081,2.9203054324,2.9203054324
1,0.145038167939,1,MONTHLY,12,1,INC,18.2752499258,18.2752499258,1.0000000000,-0.0000000000,89.0519520000,89.0519520000,13515.5000000000,5.0328349536,73.2737329536
1,0.145038167939,1,MONTHLY,12,1,DEC,67.1988335777,67.1988335777,1.0000000000,0.0000000000,89.0519520000,89.0519520000,13515.5000000000,5.0328349536,73.2737329536
1,0.145038167939,1,MONTHLY,12,7,INC,18.2752499258,18.2752499258,1.0000000000,0.0000000000,89.0519520000,89.0519520000,12687.5008449402,5.0328349536,114.8234209536
1,0.145038167939,1,MONTHLY,12,7,DEC,63.4406758902,63.4406758902,1.0000000000,0.0000000000,89.0519520000,89.0519520000,12687.5008449402,5.0328349536,114.8234209536
1,0.145038167939,1,MONTHLY,12,13,INC,18.2752499258,18.2752499258,1.0000000000,-0.0000000000,89.0519520000,89.0519520000,11859.5016898803,5.0328349536,117.0502499536
1,0.145038167939,1,MONTHLY,12,13,DEC,59.6825182027,59.6825182027,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11859.5016898803,5.0328349536,117.0502499536
1,0.145038167939,1,MONTHLY,12,19,INC,18.2752499258,18.2752499258,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11031.5025348204,5.0328349536,138.6107629536
1,0.145038167939,1,MONTHLY,12,19,DEC,55.7753846235,55.7753846235,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11031.5025348204,5.0328349536,138.6107629536
1,0.145038167939,1,MONTHLY,12,169,INC,21.1791179258,21.1791179258,1.0000000000,0.0000000000,86.1480840000,86.1480840000,12500.6715663026,4.9659717131,22.3891797131
1,0.145038167939,1,MONTHLY,12,169,DEC,59.6888192353,59.6888192353,1.0000000000,0.0000000000,86.1480840000,86.1480840000,12500.6715663026,4.9659717131,22.3891797131
1,0.145038167939,1,MONTHLY,12,175,INC,21.1791179258,21.1791179258,1.0000000000,-0.0000000000,86.1480840000,86.1480840000,11408.7385674036,4.9659717131,27.9989087131
1,0.145038167939,1,MONTHLY,12,175,DEC,54.6763659955,54.6763659955,1.0000000000,0.0000000000,86.1480840000,86.1480840000,11408.7385674036,4.9659717131,27.9989087131
1,0.145038167939,1,MONTHLY,12,181,INC,21.1791179258,21.1791179258,1.0000000000,0.0000000000,84.5348240000,86.1480840000,10316.8055685045,4.9659717131,140.4432487131
1,0.145038167939,1,MONTHLY,12,181,DEC,47.8179956517,47.8179956517,1.0000000000,0.0000000000,84.5348240000,86.1480840000,10316.8055685045,4.9659717131,140.4432487131
