scenario,probability,case,case_name,duration_h,direction,n_events,mean_phys_MW,mean_rm_MW,retained_ratio_of_means,mean_event_retained_ratio,mean_loss_MW,rm_zero_fraction,min_phys_MW,max_phys_MW,min_rm_MW,max_rm_MW
5,0.114503816794,1,MONTHLY,24,INC,20,6.75121381798,6.75121381798,1.0,1.0,0.0,0.15,0.0,16.6184945587,0.0,16.6184945587
5,0.114503816794,2,HOURLY,1,DEC,20,97.02227953986001,97.02227953986001,1.0,1.0,0.0,0.0,87.7158567417,99.3488852394,87.7158567417,99.3488852394
5,0.114503816794,2,HOURLY,1,INC,20,7.790927866679999,7.790927866679999,1.0,1.0,0.0,0.0,5.5840361861,16.618494589,5.5840361861,16.618494589
5,0.114503816794,2,HOURLY,4,DEC,20,95.42578844389,95.42578844389,1.0,1.0,0.0,0.0,71.750945782,99.3488852394,71.750945782,99.3488852394
5,0.114503816794,2,HOURLY,4,INC,20,7.79092786062,7.7909278636499995,1.0000000003889138,1.000000000182327,-3.03000007306764e-09,0.0,5.5840361861,16.6184945587,5.5840361861,16.618494589
5,0.114503816794,2,HOURLY,12,DEC,20,80.13037261230502,80.13037261230502,1.0,1.0,0.0,0.0,30.8059447654,99.3488852394,30.8059447654,99.3488852394
5,0.114503816794,2,HOURLY,12,INC,20,7.386710631175001,7.386710631175001,1.0,1.0,0.0,0.05,0.0,16.6184945587,0.0,16.6184945587
5,0.114503816794,2,HOURLY,24,DEC,20,55.556933683080004,55.556933683080004,1.0,1.0,0.0,0.0,19.1878653087,81.5077387911,19.1878653087,81.5077387911
5,0.114503816794,2,HOURLY,24,INC,20,6.75121381798,6.75121381798,1.0,1.0,0.0,0.15,0.0,16.6184945587,0.0,16.6184945587
6,0.076335877863,1,MONTHLY,1,DEC,20,67.36168887586,67.36168887586,1.0,1.0,0.0,0.0,0.5097595184,104.6672718973,0.5097595184,104.6672718973
6,0.076335877863,1,MONTHLY,1,INC,20,5.87903872827,5.87903872827,1.0,1.0,0.0,0.0,0.0888255836,17.6961094798,0.0888255836,17.6961094798
6,0.076335877863,1,MONTHLY,4,DEC,20,55.858477651455,55.858477651455,1.0,1.0,0.0,0.0,0.5097482857,104.6672718973,0.5097482857,104.6672718973
6,0.076335877863,1,MONTHLY,4,INC,20,5.87903872827,5.87903872827,1.0,1.0,0.0,0.0,0.0888255836,17.6961094798,0.0888255836,17.6961094798
6,0.076335877863,1,MONTHLY,12,DEC,20,39.757508335545,39.757508335545,1.0,1.0,0.0,0.0,0.3108907934,104.6672718973,0.3108907934,104.6672718973
6,0.076335877863,1,MONTHLY,12,INC,20,5.81069111116,5.81069111116,1.0,1.0,0.0,0.0,0.0888255836,17.6961094798,0.0888255836,17.6961094798
