scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
4,0.038167938931,1,MONTHLY,12,1,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,1,MONTHLY,12,1,DEC,85.4740835035,85.4740835035,1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,1,MONTHLY,12,175,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,9010.9160187655,5.6464582654,42.6452053396
4,0.038167938931,1,MONTHLY,12,175,DEC,64.3833334709,64.3833334709,1.0000000000,0.0000000000,107.3272019258,107.3272019258,9010.9160187655,5.6464582654,42.6452053396
4,0.038167938931,1,MONTHLY,12,349,INC,0.3648350240,0.3648350240,1.0000000000,-0.0000000000,106.9623669018,106.9623669018,11545.1973683844,5.2816232414,37.9002783396
4,0.038167938931,1,MONTHLY,12,349,DEC,76.1435228541,76.1435228541,1.0000000000,0.0000000000,106.9623669018,106.9623669018,11545.1973683844,5.2816232414,37.9002783396
4,0.038167938931,1,MONTHLY,12,523,INC,0.5985701251,0.5985701251,1.0000000000,0.0000000000,66.2527019673,71.1447660000,10566.3069484573,4.2429999199,4.2429999199
4,0.038167938931,1,MONTHLY,12,523,DEC,25.1194481013,25.1194481013,1.0000000000,0.0000000000,66.2527019673,71.1447660000,10566.3069484573,4.2429999199,4.2429999199
4,0.038167938931,1,MONTHLY,24,1,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,1,MONTHLY,24,1,DEC,56.4827344402,56.4827344402,1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,1,MONTHLY,24,175,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,9010.9160187655,5.6464582654,42.6452053396
4,0.038167938931,1,MONTHLY,24,175,DEC,44.9494778310,44.9494778310,1.0000000000,0.0000000000,107.3272019258,107.3272019258,9010.9160187655,5.6464582654,42.6452053396
4,0.038167938931,1,MONTHLY,24,349,INC,0.3648350240,0.3648350240,1.0000000000,0.0000000000,97.8669624880,106.9623669018,11545.1973683844,5.2816232414,37.9002783396
4,0.038167938931,1,MONTHLY,24,349,DEC,40.8966024932,40.8966024932,1.0000000000,0.0000000000,97.8669624880,106.9623669018,11545.1973683844,5.2816232414,37.9002783396
4,0.038167938931,1,MONTHLY,24,523,INC,0.5985701251,0.5985701251,1.0000000000,0.0000000000,58.7778619339,71.1447660000,10566.3069484573,4.2429999199,4.2429999199
4,0.038167938931,1,MONTHLY,24,523,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,58.7778619339,71.1447660000,10566.3069484573,4.2429999199,4.2429999199
