scenario,case,duration,start,direction,envelope,deltaP_MW,baseline_window_avg_MW,activated_window_avg_MW,grid_import_MWh,grid_export_MWh,res_used_MWh,h2_min_kg,h2_max_kg,monthly_margin_MWh,weekly_min_margin_MWh,hourly_min_margin_MW
3,1,4,169,DEC,RM,104.93292143,107.32720193,2.39428050,18196.88114044,14968.90575792,67941.63979690,2409.00000000,47816.66679484,552.89307221,-3639.00951623,-101.68074366
3,1,4,337,INC,PHYS,63.84856236,43.47863956,107.32720193,35474.97688139,13239.88883687,48804.95457278,2409.00000000,35302.64187215,-18454.21958986,-8327.12079564,-101.68074369
3,1,4,337,INC,RM,63.84856236,43.47863956,107.32720193,23988.89482757,17397.60362567,64460.08740098,2409.00000000,35302.64187215,-2810.42274724,-3567.79259511,-101.68074367
3,1,4,337,DEC,PHYS,41.08435906,43.47863956,2.39428050,36106.48533297,13289.39894725,48180.45591990,2408.99999980,35302.64187215,-19036.21793105,-8472.30786633,-101.68074367
3,1,4,337,DEC,RM,41.08435906,43.47863956,2.39428050,25364.03183133,18426.34862942,64069.27280880,2408.99999980,35302.64187215,-3156.81474724,-4160.58455632,-101.68074367
3,1,4,505,INC,PHYS,0.00000000,105.96540144,105.96540144,28238.08924474,10056.29731327,53059.83741467,2408.99999901,24090.00000000,-14400.92347674,-8916.88592388,-101.68074366
3,1,4,505,INC,RM,0.00000000,105.96540144,107.32720193,28023.29158121,10412.20826538,53417.03230305,2408.99999959,24090.00000000,-13830.21486133,-8686.78950009,-101.68074367
3,1,4,505,DEC,PHYS,99.48571950,105.96540144,2.84320809,29218.45309175,10016.45528215,51895.47514218,2408.99999901,24090.00000000,-15421.12935486,-8783.52595103,-101.68074369
3,1,4,505,DEC,RM,99.48571950,105.96540144,2.84320809,29492.03842991,10109.31136110,51728.18431748,2408.99999901,24090.00000000,-15601.85861408,-8996.44336784,-101.68074369
3,1,4,673,INC,PHYS,0.00000000,101.43491891,107.17755939,29214.18740916,2951.29260024,44813.27992773,2408.99999980,24090.00000000,-22482.02635419,-9479.24394224,-101.68074366
3,1,4,673,INC,RM,0.00000000,101.43491891,107.17755939,29729.29811222,3033.18859640,44373.14577656,3178.81200955,35728.00670025,-22915.24106109,-9398.33609833,-101.68074366
3,1,4,673,DEC,PHYS,70.80041204,101.43491891,27.99366254,31796.81144703,2759.24840483,41983.95952637,2408.99999959,24090.00000000,-25256.69458747,-9773.31953585,-101.68074370
3,1,4,673,DEC,RM,70.80041204,101.43491891,27.99366254,33374.82533198,2738.17466478,40387.14453434,2409.00000000,24090.00000000,-26855.78221379,-10149.96484340,-101.68074372
